Type,Design section,D10xx,D11xx,D12xx,D14xx,D13xx,D20xx,D15xx L1,D15xx L2,D30xx K1,R K1,D30xx K2,R K2,D30xx MID,R MID
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET65,C,6ø32c150-D1000, , ,6ø20c150-D1402,6ø20c150-D1300,6ø12c150-D2000,61ø16c150-D1504,61ø16c150-D1504,18ø12c300c300-D3000,2,18ø12c300c300-D3000,2,12ø12c300c600-D3000,1
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET64,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET66,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET66,C,13ø32c150-D1000, , ,13ø20c145-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET67,C,6ø32c150-D1000, , ,6ø20c135-D1402,6ø20c150-D1300,6ø12c150-D2000,61ø16c150-D1503,61ø16c150-D1503,18ø12c300c300-D3000,2,18ø12c300c300-D3000,2,12ø12c300c600-D3000,1
